V_app,L,k_fac,dT_max,Pin
0.02,0.001,0.8,49.71104657,40.39237008
0.022758621,0.001,0.8,49.74627732,52.45414282
0.025517241,0.001,0.8,49.78518641,66.15523172
0.031034483,0.001,0.8,49.87336887,98.6013718
0.028275862,0.001,0.8,49.8276042,81.52620844
0.033793103,0.001,0.8,49.92232608,117.4188245
0.036551724,0.001,0.8,49.97432859,138.0205586
0.039310345,0.001,0.8,50.08697792,160.45255
0.042068966,0.001,0.8,50.67815918,184.7648615
0.044827586,0.001,0.8,51.73515782,211.0117555
0.047586207,0.001,0.8,53.18307509,239.2518158
0.050344828,0.001,0.8,54.96161145,269.5480796
0.053103448,0.001,0.8,57.0422274,301.9681794
0.055862069,0.001,0.8,59.38230701,336.5844955
0.05862069,0.001,0.8,61.97207534,373.4743193
0.06137931,0.001,0.8,64.7755487,412.7200282
0.064137931,0.001,0.8,67.7992377,454.4092717
0.066896552,0.001,0.8,71.01757824,498.6351706
0.069655172,0.001,0.8,74.42379503,545.4965276
0.072413793,0.001,0.8,78.00990522,595.0980526
0.075172414,0.001,0.8,81.76663095,647.5506005
0.077931034,0.001,0.8,85.69751825,702.9714251
0.080689655,0.001,0.8,89.80010752,761.4844472
0.083448276,0.001,0.8,94.04979139,823.2205385
0.086206897,0.001,0.8,98.45992529,888.3178246
0.02,0.001310345,0.8,49.78054037,30.82578978
0.088965517,0.001,0.8,103.0280299,956.9220016
0.022758621,0.001310345,0.8,49.80729729,40.03084889
0.091724138,0.001,0.8,107.730064,1029.186676
0.094482759,0.001,0.8,112.5990954,1105.273719
0.097241379,0.001,0.8,117.5913209,1185.35365
0.1,0.001,0.8,122.7406282,1269.60603
0.025517241,0.001310345,0.8,49.83684773,50.48697401
0.028275862,0.001310345,0.8,49.86906284,62.21749789
0.031034483,0.001310345,0.8,49.9038197,75.24859765
0.033793103,0.001310345,0.8,49.94100107,89.60935314
0.036551724,0.001310345,0.8,49.98049511,105.3318121
0.039310345,0.001310345,0.8,50.08700612,122.4510619
0.042068966,0.001310345,0.8,50.67514843,141.0053084
0.044827586,0.001310345,0.8,51.73193711,161.0359612
0.047586207,0.001310345,0.8,53.1786829,182.5877268
0.050344828,0.001310345,0.8,54.96353176,205.7087084
0.053103448,0.001310345,0.8,57.04060464,230.4505143
0.055862069,0.001310345,0.8,59.38341675,256.8683733
0.05862069,0.001310345,0.8,61.96681643,285.0212593
0.06137931,0.001310345,0.8,64.77630762,314.9720233
0.064137931,0.001310345,0.8,67.79421015,346.7875353
0.066896552,0.001310345,0.8,71.00983353,380.5388344
0.069655172,0.001310345,0.8,74.41233485,416.3012897
0.072413793,0.001310345,0.8,78.00172749,454.1547693
0.075172414,0.001310345,0.8,81.76357694,494.1838215
0.077931034,0.001310345,0.8,85.6933454,536.477865
0.080689655,0.001310345,0.8,89.7858582,581.1313926
0.083448276,0.001310345,0.8,94.03526495,628.2441847
0.086206897,0.001310345,0.8,98.44565287,677.9215367
0.088965517,0.001310345,0.8,103.0120389,730.2744985
0.02,0.00162069,0.8,49.82126434,24.92299146
0.091724138,0.001310345,0.8,107.7209585,785.4201274
0.094482759,0.001310345,0.8,112.5697856,843.4817561
0.022758621,0.00162069,0.8,49.84305583,32.36538786
0.097241379,0.001310345,0.8,117.5787872,904.5892749
0.025517241,0.00162069,0.8,49.8671224,40.81928775
0.1,0.001310345,0.8,122.7119975,968.8794309
0.028275862,0.00162069,0.8,49.8933591,50.30355654
0.031034483,0.00162069,0.8,49.92166581,60.83935938
0.033793103,0.00162069,0.8,49.95194705,72.45020815
0.036551724,0.00162069,0.8,49.98411173,85.16201421
0.039310345,0.00162069,0.8,50.08703149,99.0031464
0.042068966,0.00162069,0.8,50.6759971,114.0044944
0.044827586,0.00162069,0.8,51.73275371,130.199538
0.047586207,0.00162069,0.8,53.17982873,147.6244218
0.050344828,0.00162069,0.8,54.96246198,166.3180365
0.053103448,0.00162069,0.8,57.03789281,186.3221058
0.055862069,0.00162069,0.8,59.38000451,207.6812794
0.05862069,0.00162069,0.8,61.96636635,230.4432338
0.06137931,0.00162069,0.8,64.77279925,254.6587791
0.064137931,0.00162069,0.8,67.79028708,280.3819725
0.066896552,0.00162069,0.8,71.00790171,307.6702403
0.069655172,0.00162069,0.8,74.41264861,336.5845066
0.072413793,0.00162069,0.8,77.99832342,367.1893303
0.075172414,0.00162069,0.8,81.75637869,399.5530503
0.077931034,0.00162069,0.8,85.68836635,433.7479389
0.080689655,0.00162069,0.8,89.7824347,469.8503652
0.083448276,0.00162069,0.8,94.03542296,507.9409676
0.086206897,0.00162069,0.8,98.44379801,548.1048352
0.088965517,0.00162069,0.8,103.0036357,590.4317015
0.091724138,0.00162069,0.8,107.7105994,635.016146
0.02,0.001931034,0.8,49.85053976,20.91751691
0.022758621,0.001931034,0.8,49.86876184,27.16381795
0.094482759,0.00162069,0.8,112.5631399,681.95781
0.025517241,0.001931034,0.8,49.88888633,34.25906107
0.097241379,0.00162069,0.8,117.5668277,731.3616216
0.1,0.00162069,0.8,122.7071286,783.3380359
0.028275862,0.001931034,0.8,49.91082547,42.21908006
0.031034483,0.001931034,0.8,49.93449553,51.06163884
0.033793103,0.001931034,0.8,49.95981667,60.80647088
0.036551724,0.001931034,0.8,49.98671271,71.4753234
0.039310345,0.001931034,0.8,50.0868732,83.09200609
0.042068966,0.001931034,0.8,50.67570322,95.68244422
0.044827586,0.001931034,0.8,51.73156413,109.2747366
0.047586207,0.001931034,0.8,53.17861328,123.8992186
0.050344828,0.001931034,0.8,54.96100201,139.5885299
0.053103448,0.001931034,0.8,57.03806891,156.3776871
0.055862069,0.001931034,0.8,59.38113962,174.304163
0.05862069,0.001931034,0.8,61.96475531,193.4079694
0.06137931,0.001931034,0.8,64.77322905,213.7317475
0.064137931,0.001931034,0.8,67.78929746,235.3208629
0.066896552,0.001931034,0.8,71.00447686,258.223508
0.069655172,0.001931034,0.8,74.40887435,282.4908092
0.072413793,0.001931034,0.8,77.99657756,308.1769422
0.075172414,0.001931034,0.8,81.7567449,335.3392532
0.077931034,0.001931034,0.8,85.68556048,364.0383878
0.080689655,0.001931034,0.8,89.77650747,394.3384268
0.083448276,0.001931034,0.8,94.0312383,426.3070313
0.086206897,0.001931034,0.8,98.43988956,460.0155938
0.088965517,0.001931034,0.8,103.0000435,495.5394006
0.091724138,0.001931034,0.8,107.7090524,532.9578002
0.02,0.002241379,0.8,49.87061638,18.02124846
0.022758621,0.002241379,0.8,49.88639067,23.4026791
0.094482759,0.001931034,0.8,112.5640291,572.3543829
0.097241379,0.001931034,0.8,117.5618355,613.8171689
0.025517241,0.002241379,0.8,49.9038118,29.5155068
0.1,0.001931034,0.8,122.6990708,657.4388085
0.028275862,0.002241379,0.8,49.9228038,36.37337317
0.031034483,0.002241379,0.8,49.94329419,43.99158266
0.033793103,0.002241379,0.8,49.96521386,52.38713656
0.036551724,0.002241379,0.8,49.98849686,61.57877101
0.039310345,0.002241379,0.8,50.08676605,71.58699916
0.042068966,0.002241379,0.8,50.67505445,82.43415641
0.044827586,0.002241379,0.8,51.73204445,94.14445093
0.047586207,0.002241379,0.8,53.17884105,106.7440177
0.050344828,0.002241379,0.8,54.96043905,120.2609764
0.053103448,0.002241379,0.8,57.03815353,134.7254951
0.055862069,0.002241379,0.8,59.37960629,150.169857
0.05862069,0.002241379,0.8,61.96463723,166.6285326
0.06137931,0.002241379,0.8,64.77216002,184.1382576
0.064137931,0.002241379,0.8,67.78990399,202.7381143
0.066896552,0.002241379,0.8,71.0039453,222.4696197
0.069655172,0.002241379,0.8,74.40929919,243.3768182
0.072413793,0.002241379,0.8,77.99488191,265.5063804
0.075172414,0.002241379,0.8,81.75351421,288.9077074
0.077931034,0.002241379,0.8,85.68426352,313.6330419
0.080689655,0.002241379,0.8,89.77664228,339.7375847
0.083448276,0.002241379,0.8,94.02926561,367.2796195
0.086206897,0.002241379,0.8,98.43412499,396.3206429
0.088965517,0.002241379,0.8,102.9964977,426.925504
0.02,0.002551724,0.8,49.88668355,15.82947691
0.091724138,0.002241379,0.8,107.7060497,459.1625492
0.022758621,0.002551724,0.8,49.90049891,20.55641048
0.094482759,0.002241379,0.8,112.5607039,493.1037757
0.025517241,0.002551724,0.8,49.91575658,25.92578792
0.097241379,0.002241379,0.8,117.558227,528.8249951
0.1,0.002241379,0.8,122.6962247,566.4060015
0.028275862,0.002551724,0.8,49.93239005,31.94959182
0.031034483,0.002551724,0.8,49.95033582,38.64126538
0.033793103,0.002551724,0.8,49.96953336,46.01574224
0.036551724,0.002551724,0.8,49.98992492,54.08947998
0.039310345,0.002551724,0.8,50.0866449,62.8804967
0.042068966,0.002551724,0.8,50.675413,72.40841156
0.044827586,0.002551724,0.8,51.73142811,82.6944884
0.047586207,0.002551724,0.8,53.17854984,93.7616833
0.050344828,0.002551724,0.8,54.96100724,105.634696
0.053103448,0.002551724,0.8,57.0377454,118.340025
0.055862069,0.002551724,0.8,59.38027833,131.9060267
0.05862069,0.002551724,0.8,61.96394595,146.3629786
0.06137931,0.002551724,0.8,64.77176336,161.7431477
0.064137931,0.002551724,0.8,67.78927739,178.0808618
0.066896552,0.002551724,0.8,71.00468996,195.4125869
0.069655172,0.002551724,0.8,74.4084937,213.777009
0.072413793,0.002551724,0.8,77.99396293,233.21512
0.075172414,0.002551724,0.8,81.7542529,253.7703098
0.077931034,0.002551724,0.8,85.68250025,275.488464
0.080689655,0.002551724,0.8,89.77448711,298.418065
0.083448276,0.002551724,0.8,94.02812993,322.6103025
0.086206897,0.002551724,0.8,98.43388816,348.1191875
0.088965517,0.002551724,0.8,102.9955319,375.0016738
0.02,0.002862069,0.8,49.89920102,14.11302878
0.091724138,0.002551724,0.8,107.7027132,403.317786
0.022758621,0.002862069,0.8,49.91149024,18.32740405
0.094482759,0.002551724,0.8,112.5562191,433.1307537
0.097241379,0.002551724,0.8,117.5550902,464.5071542
0.025517241,0.002862069,0.8,49.92506245,23.11456093
0.1,0.002551724,0.8,122.6933433,497.5170609
0.028275862,0.002862069,0.8,49.93985846,28.48518271
0.031034483,0.002862069,0.8,49.95582181,34.45125499
0.033793103,0.002862069,0.8,49.97289865,41.02609214
0.036551724,0.002862069,0.8,49.9910376,48.22436722
0.039310345,0.002862069,0.8,50.08654834,56.06214458
0.042068966,0.002862069,0.8,50.67521414,64.556916
0.044827586,0.002862069,0.8,51.73176128,73.72763957
0.047586207,0.002862069,0.8,53.17862859,83.59478209
0.050344828,0.002862069,0.8,54.96070989,94.18036486
0.053103448,0.002862069,0.8,57.03745546,105.5080128
0.055862069,0.002862069,0.8,59.37995559,117.6030072
0.05862069,0.002862069,0.8,61.96329775,130.4923422
0.06137931,0.002862069,0.8,64.77077499,144.2047853
0.064137931,0.002862069,0.8,67.78884599,158.7709414
0.066896552,0.002862069,0.8,71.00422665,174.2233213
0.069655172,0.002862069,0.8,74.40875791,190.5964149
0.072413793,0.002862069,0.8,77.99333294,207.9267679
0.075172414,0.002862069,0.8,81.75403928,226.2530635
0.077931034,0.002862069,0.8,85.6826055,245.6162093
0.080689655,0.002862069,0.8,89.77510256,266.0594283
0.083448276,0.002862069,0.8,94.02708901,287.6283558
0.086206897,0.002862069,0.8,98.43358104,310.3711425
0.088965517,0.002862069,0.8,102.9937244,334.338561
0.02,0.003172414,0.8,49.90875037,12.73240713
0.091724138,0.002862069,0.8,107.7019851,359.5841219
0.022758621,0.003172414,0.8,49.91987533,16.53450703
0.094482759,0.002862069,0.8,112.5565584,386.1641914
0.025517241,0.003172414,0.8,49.93216174,20.85335574
0.097241379,0.002862069,0.8,117.5512895,414.1381195
0.028275862,0.003172414,0.8,49.945556,25.6985915
0.1,0.002862069,0.8,122.6908676,443.5683712
0.031034483,0.003172414,0.8,49.96000701,31.08102744
0.033793103,0.003172414,0.8,49.97546602,37.01267546
0.036551724,0.003172414,0.8,49.99188651,43.50677323
0.039310345,0.003172414,0.8,50.08645227,50.57781361
0.042068966,0.003172414,0.8,50.675026,58.24157723
0.044827586,0.003172414,0.8,51.73136433,66.51516754
0.047586207,0.003172414,0.8,53.17845564,75.41704913
0.050344828,0.003172414,0.8,54.96048286,84.9670889
0.053103448,0.003172414,0.8,57.03778671,95.1866005
0.055862069,0.003172414,0.8,59.37985828,106.0983921
0.05862069,0.003172414,0.8,61.96353796,117.7268167
0.06137931,0.003172414,0.8,64.77091115,130.0978271
0.064137931,0.003172414,0.8,67.78798175,143.2390338
0.066896552,0.003172414,0.8,71.00400382,157.1797671
0.069655172,0.003172414,0.8,74.40811217,171.9511414
0.072413793,0.003172414,0.8,77.99370164,187.586127
0.075172414,0.003172414,0.8,81.75307782,204.1196216
0.077931034,0.003172414,0.8,85.68210125,221.5885295
0.080689655,0.003172414,0.8,89.77413572,240.0318438
0.083448276,0.003172414,0.8,94.02588409,259.4907334
0.086206897,0.003172414,0.8,98.43365506,280.008636
0.088965517,0.003172414,0.8,102.9933429,301.6313545
0.091724138,0.003172414,0.8,107.7004035,324.4071611
0.02,0.003482759,0.8,49.91704577,11.59783672
0.094482759,0.003172414,0.8,112.5554902,348.3869036
0.022758621,0.003482759,0.8,49.92715936,15.06113598
0.025517241,0.003482759,0.8,49.93832881,18.99513726
0.097241379,0.003172414,0.8,117.5516494,373.6241207
0.028275862,0.003482759,0.8,49.9505054,23.40861998
0.1,0.003172414,0.8,122.690154,400.175161
0.031034483,0.003482759,0.8,49.96364267,28.31143374
0.033793103,0.003482759,0.8,49.97769628,33.71452011
0.036551724,0.003482759,0.8,49.99262398,39.62993718
0.039310345,0.003482759,0.8,50.08638354,46.07088637
0.042068966,0.003482759,0.8,50.67520034,53.05174222
0.044827586,0.003482759,0.8,51.73159872,60.58808378
0.047586207,0.003482759,0.8,53.17839458,68.69673056
0.050344828,0.003482759,0.8,54.96051378,77.39577897
0.053103448,0.003482759,0.8,57.03761064,86.70464334
0.055862069,0.003482759,0.8,59.37963155,96.64409928
0.05862069,0.003482759,0.8,61.96315734,107.2363295
0.06137931,0.003482759,0.8,64.77087672,118.5049741
0.064137931,0.003482759,0.8,67.78786924,130.4751829
0.066896552,0.003482759,0.8,71.00310179,143.1736718
0.069655172,0.003482759,0.8,74.40805366,156.6287827
0.072413793,0.003482759,0.8,77.99338826,170.8705468
0.075172414,0.003482759,0.8,81.75312913,185.9307515
0.077931034,0.003482759,0.8,85.6806707,201.8430117
0.080689655,0.003482759,0.8,89.77402064,218.6428448
0.083448276,0.003482759,0.8,94.02571462,236.3677495
0.086206897,0.003482759,0.8,98.43290905,255.0572911
0.088965517,0.003482759,0.8,102.9924536,274.7531888
0.02,0.003793103,0.8,49.92395861,10.64892317
0.091724138,0.003482759,0.8,107.700877,295.4994105
0.022758621,0.003793103,0.8,49.93322939,13.82886182
0.094482759,0.003482759,0.8,112.5543694,317.3422703
0.025517241,0.003793103,0.8,49.94346805,17.44099061
0.097241379,0.003482759,0.8,117.5508735,340.3305325
0.028275862,0.003793103,0.8,49.95462991,21.49337064
0.1,0.003482759,0.8,122.6890518,364.5155201
0.031034483,0.003793103,0.8,49.96667239,25.99504567
0.033793103,0.003793103,0.8,49.97955486,30.95606207
0.036551724,0.003793103,0.8,49.99323857,36.38749136
0.039310345,0.003793103,0.8,50.08632635,42.30145485
0.042068966,0.003793103,0.8,50.67503829,48.71115099
0.044827586,0.003793103,0.8,51.73143128,55.63088426
0.047586207,0.003793103,0.8,53.17822652,63.07609772
0.050344828,0.003793103,0.8,54.96051867,71.0634074
0.053103448,0.003793103,0.8,57.03746623,79.61063903
0.055862069,0.003793103,0.8,59.37930436,88.73686831
0.05862069,0.003793103,0.8,61.96294194,98.46246284
0.06137931,0.003793103,0.8,64.77089329,108.8091284
0.064137931,0.003793103,0.8,67.78778162,119.7999569
0.066896552,0.003793103,0.8,71.00348943,131.459478
0.069655172,0.003793103,0.8,74.40737241,143.8137145
0.072413793,0.003793103,0.8,77.99313741,156.89024
0.075172414,0.003793103,0.8,81.75280408,170.7182405
0.077931034,0.003793103,0.8,85.68134996,185.3285799
0.080689655,0.003793103,0.8,89.77304096,200.7538689
0.083448276,0.003793103,0.8,94.02543109,217.028537
0.086206897,0.003793103,0.8,98.43231135,234.1889112
0.088965517,0.003793103,0.8,102.9911839,252.2732956
0.091724138,0.003793103,0.8,107.6993086,271.3220591
0.02,0.004103448,0.8,49.9295226,9.843542681
0.022758621,0.004103448,0.8,49.93811503,12.78298193
0.094482759,0.003793103,0.8,112.5536929,291.3777243
0.025517241,0.004103448,0.8,49.94760451,16.12192474
0.097241379,0.003793103,0.8,117.5510796,312.4850627
0.028275862,0.004103448,0.8,49.95794965,19.86782255
0.1,0.003793103,0.8,122.6879335,334.691196
0.031034483,0.004103448,0.8,49.96911096,24.02903516
0.033793103,0.004103448,0.8,49.9810508,28.61484914
0.036551724,0.004103448,0.8,49.99373325,33.63549868
0.039310345,0.004103448,0.8,50.0862507,39.10218834
0.042068966,0.004103448,0.8,50.67503712,45.02711839
0.044827586,0.004103448,0.8,51.73150382,51.42351143
0.047586207,0.004103448,0.8,53.17824521,58.30564259
0.050344828,0.004103448,0.8,54.96042022,65.68887108
0.053103448,0.004103448,0.8,57.03758671,73.58967454
0.055862069,0.004103448,0.8,59.37944358,82.02568572
0.05862069,0.004103448,0.8,61.96306119,91.01573214
0.06137931,0.004103448,0.8,64.77078462,100.5798775
0.064137931,0.004103448,0.8,67.78792676,110.7394671
0.066896552,0.004103448,0.8,71.00327066,121.5171755
0.069655172,0.004103448,0.8,74.40758683,132.9370566
0.072413793,0.004103448,0.8,77.99226999,145.0245989
0.075172414,0.004103448,0.8,81.75258785,157.8067803
0.077931034,0.004103448,0.8,85.68109103,171.3121301
0.080689655,0.004103448,0.8,89.77320866,185.5707922
0.083448276,0.004103448,0.8,94.02450215,200.6145914
0.086206897,0.004103448,0.8,98.43233705,216.4771062
0.088965517,0.004103448,0.8,102.9916692,233.1937432
0.02,0.004413793,0.8,49.93457569,9.151418784
0.091724138,0.004103448,0.8,107.6994727,250.8018164
0.022758621,0.004413793,0.8,49.94255206,11.88417884
0.094482759,0.004103448,0.8,112.553253,269.3406312
0.025517241,0.004413793,0.8,49.95136115,14.98835241
0.097241379,0.004103448,0.8,117.5503097,288.8515713
0.028275862,0.004413793,0.8,49.96096456,18.47086702
0.1,0.004103448,0.8,122.6877268,309.3781923
0.031034483,0.004413793,0.8,49.97132562,22.33949469
0.033793103,0.004413793,0.8,49.98240939,26.60286901
0.036551724,0.004413793,0.8,49.99418252,31.27050461
0.039310345,0.004413793,0.8,50.08627467,36.35281822
0.042068966,0.004413793,0.8,50.67509432,41.86115228
0.044827586,0.004413793,0.8,51.73138823,47.80779967
0.047586207,0.004413793,0.8,53.17822898,54.2060318
0.050344828,0.004413793,0.8,54.96028144,61.07012787
0.053103448,0.004413793,0.8,57.03750299,68.41540687
0.055862069,0.004413793,0.8,59.3792646,76.25826195
0.05862069,0.004413793,0.8,61.96281574,84.61619646
0.06137931,0.004413793,0.8,64.77058469,93.50786334
0.064137931,0.004413793,0.8,67.78782113,102.953107
0.066896552,0.004413793,0.8,71.00327709,112.9730076
0.069655172,0.004413793,0.8,74.406999,123.5899275
0.072413793,0.004413793,0.8,77.99226505,134.8275625
0.075172414,0.004413793,0.8,81.75243921,146.7109938
0.077931034,0.004413793,0.8,85.68044666,159.266744
0.080689655,0.004413793,0.8,89.77252291,172.5228373
0.083448276,0.004413793,0.8,94.02459872,186.5088602
0.086206897,0.004413793,0.8,98.43210949,201.2560297
0.088965517,0.004413793,0.8,102.9908705,216.7972618
0.091724138,0.004413793,0.8,107.6991089,233.1672455
0.02,0.004724138,0.8,49.93873695,8.550230832
0.094482759,0.004413793,0.8,112.5532586,250.4025222
0.022758621,0.004724138,0.8,49.94620598,11.1034666
0.025517241,0.004724138,0.8,49.95445478,14.00371648
0.097241379,0.004413793,0.8,117.550108,268.5415639
